asset,model,in_mcs,es_99_1d,n_star_usd,bind_rate,mean_utilisation,max_utilisation,budget_breach_rate,flagged_breach_rate,es_exceedance_rate,worst_loss_usd
BTC,Realized-GARCH,True,-0.12641303212481725,949269.2168123523,0.39827973074046374,1.0,5.253516336878179,0.0029917726252804786,0.75,0.002243829468960359,446690.97983581625
ETH,AWHS,True,-0.15645051134144228,767015.7097672146,0.5086013462976814,1.0,2.096388144053773,0.004113687359760658,0.6363636363636364,0.005609573672400898,433835.12122231873
ETH,CAViaR-AS,True,-0.15427957853238264,777808.7102747206,0.39827973074046374,1.0,5.494665505571144,0.004487658937920718,0.6666666666666666,0.004487658937920718,439939.7975984356
ETH,CAViaR-SAV,True,-0.1545487791184982,776453.8852033998,0.4255796559461481,1.0,4.609558808758471,0.004487658937920718,0.75,0.006357516828721017,439173.4890449513
ETH,CAViaR-X-AS,True,-0.15295217029430924,784558.9884020413,0.3967838444278235,0.9999999999999998,5.47429071627735,0.005235602094240838,0.8571428571428571,0.004487658937920718,443757.8520298622
ETH,EGARCH-t,True,-0.1773002945018228,676817.826711316,0.34480179506357517,1.0,11.532283003740833,0.002243829468960359,1.0,0.0037397157816005983,382817.9008039412
ETH,EWMA,True,-0.10528546864773895,1139758.4257471703,0.41847419596110697,1.0000000000000002,3.8396439549152426,0.014210919970082274,0.7105263157894737,0.015332834704562454,644663.7643813725
ETH,FHS,True,-0.15515311255949368,773429.5369291146,0.4218399401645475,0.9999999999999998,7.017243875667601,0.004487658937920718,0.75,0.005235602094240838,437462.87414686626
ETH,GARCH-EVT,True,-0.1547384524502023,775502.1334378294,0.4098728496634256,1.0,6.5564751532288925,0.004487658937920718,0.75,0.0048616305160807775,438635.1645525949
ETH,GARCH-X,True,-0.174760100223754,686655.5915587029,0.3706058339566193,1.0,8.572703043786174,0.002243829468960359,0.8333333333333334,0.0029917726252804786,388382.2821468188
ETH,GARCH-t,True,-0.16845913668551962,712338.9230233122,0.39416604338070305,1.0,6.258150687337565,0.002243829468960359,0.8333333333333334,0.0029917726252804786,402909.1439535
ETH,GJR-GARCH-t,True,-0.16871704587191466,711250.006659675,0.39603590127150334,1.0000000000000002,5.856038645505933,0.002243829468960359,1.0,0.0037397157816005983,402293.23719096073
ETH,HAR-RV,True,-0.10853197592716174,1105664.9339963617,0.40575916230366493,1.0,4.731555781834009,0.013836948391922213,0.7297297297297297,0.009723261032161555,625379.9949119139
ETH,HARQ,True,-0.10571825160524782,1135092.551928311,0.39603590127150334,1.0,4.857487618406096,0.014210919970082274,0.7105263157894737,0.014958863126402393,642024.6790171011
ETH,HS,True,-0.16604534429750026,722694.1562721464,0.587509349289454,1.0,1.6431836914801874,0.002243829468960359,0.8333333333333334,0.004487658937920718,408766.2128695419
ETH,Jump-Diffusion,True,-0.16564210361500023,724453.489668994,0.5908750934928946,0.9999999999999998,1.737601224131694,0.002243829468960359,0.6666666666666666,0.005235602094240838,409761.31715198676
ETH,MS-GARCH,True,-0.1391254347433794,862530.9974509206,0.4476439790575916,1.0,3.3471978830256517,0.007105459985041137,0.8421052631578947,0.005609573672400898,487859.9422046966
ETH,Realized-GARCH,True,-0.16024394057393074,748858.2692750017,0.35901271503365745,1.0,6.806707393638573,0.0037397157816005983,0.8,0.0029917726252804786,423565.01163171214
