date,asset,ess,n_train,var_cond,var_hs
2024-03-30,BTC,148.31820975544414,478,-0.05920865731042113,-0.049431794752473834
2024-04-19,BTC,148.32856003939162,478,-0.07994183197664562,-0.05003217561265316
2024-05-09,BTC,153.2401768995776,478,-0.05255647897063653,-0.0504908607980763
2024-05-29,BTC,201.03942757040676,478,-0.0504908607980763,-0.0504908607980763
2024-06-18,BTC,227.94433136868207,478,-0.05185508646018633,-0.0504908607980763
2024-07-08,BTC,198.8802697602865,478,-0.06274763787032533,-0.049945123110946454
2024-07-28,BTC,221.11035430393312,478,-0.048336636623448115,-0.049945123110946454
2024-08-17,BTC,141.04769102069878,478,-0.05920865731042113,-0.0504908607980763
2024-09-06,BTC,147.4696644822414,478,-0.07038217940109703,-0.05185508646018633
2024-09-26,BTC,183.76695089552396,478,-0.04758255094968433,-0.0504908607980763
2024-10-16,BTC,198.6156714864595,478,-0.043004140822144876,-0.0504908607980763
2024-11-05,BTC,186.49634066073767,478,-0.04541665067958256,-0.0504908607980763
2024-11-25,BTC,144.48857738896697,478,-0.06294870512686579,-0.0504908607980763
2024-12-15,BTC,201.05621766433416,478,-0.048336636623448115,-0.049945123110946454
2025-01-04,BTC,184.63956797976977,478,-0.05467509997711417,-0.049945123110946454
2025-01-24,BTC,179.34529582321113,478,-0.05467509997711417,-0.05227849148671204
2025-02-13,BTC,227.5445737627867,478,-0.049945123110946454,-0.05227849148671204
2025-03-05,BTC,99.4377133834185,478,-0.07994183197664562,-0.05467509997711417
2025-03-25,BTC,193.12950547270597,478,-0.05467509997711417,-0.05537308793421225
2025-04-14,BTC,202.3481292893432,478,-0.05608904071707066,-0.05537308793421225
2025-05-04,BTC,131.98357994332324,478,-0.049945123110946454,-0.05467509997711417
2025-05-24,BTC,169.67905663091167,478,-0.043004140822144876,-0.05467509997711417
2025-06-13,BTC,214.63243773922096,478,-0.049945123110946454,-0.05467509997711417
2025-07-03,BTC,139.20493919745297,478,-0.03870652215216985,-0.05255647897063653
2025-07-23,BTC,117.36325953198498,478,-0.044931474575658825,-0.049945123110946454
2025-08-12,BTC,114.21150941726782,478,-0.030165752599007334,-0.04848430992157482
2025-09-01,BTC,181.64118697455012,478,-0.03826536954855797,-0.04758255094968433
2025-09-21,BTC,101.63566790424686,478,-0.03659251683691345,-0.04758255094968433
2025-10-11,BTC,161.9998267615942,478,-0.04151028315760108,-0.04848430992157482
2025-10-31,BTC,148.01864672400717,478,-0.05227849148671204,-0.044931474575658825
2025-11-20,BTC,125.8612255054961,478,-0.06641871622048079,-0.049528293730322304
2025-12-10,BTC,109.73288029883022,478,-0.04948705429196032,-0.04848430992157482
2025-12-30,BTC,164.5165578912961,478,-0.035906444818973426,-0.046341204838046934
2026-01-19,BTC,151.99270604308313,478,-0.036281337483568876,-0.046341204838046934
2026-02-08,BTC,124.44634311872491,478,-0.06534609804100988,-0.049528293730322304
2026-02-28,BTC,138.14874020957177,478,-0.06534609804100988,-0.049528293730322304
2026-03-20,BTC,181.28530545280643,478,-0.04326314600157488,-0.049528293730322304
2026-04-09,BTC,210.6016813724233,478,-0.05467509997711417,-0.049528293730322304
2026-04-29,BTC,192.82372628184942,478,-0.044931474575658825,-0.04948705429196032
2026-05-19,BTC,164.8587017381722,478,-0.035906444818973426,-0.04747087541934114
2026-06-08,BTC,170.12481559778018,478,-0.05688891922437911,-0.04948705429196032
2026-06-28,BTC,248.27392062522495,478,-0.06624544982281932,-0.046341204838046934
2026-07-18,BTC,192.32276008614372,478,-0.036281337483568876,-0.043872372882319155
2026-08-07,BTC,146.60287478596575,478,-0.0373836282430009,-0.04326314600157488
2026-08-27,BTC,263.06317285604644,478,-0.03927718491937782,-0.04326314600157488
2026-09-10,BTC,179.5681546169013,478,-0.035906444818973426,-0.04326314600157488
2019-05-16,ETH,142.19592628927714,478,-0.13843125561522385,-0.1338814391322991
2019-06-05,ETH,179.7849253473377,478,-0.09886426226390821,-0.1269057786801806
2019-06-25,ETH,196.56240904995167,478,-0.11155650875812473,-0.1269057786801806
2019-07-15,ETH,172.1327980828749,478,-0.11148250432685902,-0.13268430280448928
2019-08-04,ETH,162.55813319565434,478,-0.14194993831307734,-0.13268430280448928
2019-08-24,ETH,154.40437308454867,478,-0.14194993831307734,-0.13033968609724678
2019-09-13,ETH,102.77946516907377,478,-0.1338814391322991,-0.13033968609724678
2019-10-03,ETH,194.6954332812937,478,-0.13033968609724678,-0.13033968609724678
2019-10-23,ETH,177.76982948824795,478,-0.14750600690607119,-0.13033968609724678
2019-11-12,ETH,131.3571194819789,478,-0.14194993831307734,-0.13033968609724678
2019-12-02,ETH,148.91197314196634,478,-0.16035720504584106,-0.13033968609724678
2019-12-22,ETH,190.9819375495588,478,-0.08571347565154497,-0.13033968609724678
2020-01-11,ETH,213.44072590285893,478,-0.08169190330114873,-0.11260983923013512
2020-01-31,ETH,182.39149779562257,478,-0.08262661975119912,-0.11260983923013512
2020-02-20,ETH,202.38715631650714,478,-0.09289562541114282,-0.107633001109118
2020-03-11,ETH,154.82510166001825,478,-0.13268430280448928,-0.0963565237924442
2020-03-31,ETH,144.73046010618046,478,-0.14727783210930845,-0.09883388856480302
2020-04-20,ETH,143.14739888792928,478,-0.13033968609724678,-0.0963565237924442
2020-05-10,ETH,143.79746729663353,478,-0.0963565237924442,-0.0963565237924442
2020-05-30,ETH,155.15358879841378,478,-0.0881248692543517,-0.0963565237924442
2020-06-19,ETH,121.0550926521219,478,-0.07617707198106505,-0.0881248692543517
2020-07-09,ETH,138.56171893776892,478,-0.08571347565154497,-0.0881248692543517
2020-07-29,ETH,156.0043762598573,478,-0.0722930059227096,-0.0881248692543517
2020-08-18,ETH,212.94524974462442,478,-0.0726168563285503,-0.0881248692543517
2020-09-07,ETH,109.12338345582742,478,-0.15418250602366967,-0.09883388856480302
2020-09-27,ETH,161.50520034689947,478,-0.0690391212364494,-0.09883388856480302
2020-10-17,ETH,121.98460462049782,478,-0.07617707198106505,-0.0963565237924442
2020-11-06,ETH,131.31071824962592,478,-0.08581534766824017,-0.08571347565154497
2020-11-26,ETH,133.90868501766298,478,-0.14007966490978419,-0.08581534766824017
2020-12-16,ETH,169.97648514127056,478,-0.08581534766824017,-0.08571347565154497
2021-01-05,ETH,84.67276107388835,478,-0.15418250602366967,-0.08571347565154497
2021-01-25,ETH,93.3369678523176,478,-0.15418250602366967,-0.08581534766824017
2021-02-14,ETH,166.09578287033003,478,-0.08061560525889533,-0.08895455661947604
2021-03-06,ETH,168.1245793985823,478,-0.09883388856480302,-0.09181476518863008
2021-03-26,ETH,200.64106962960804,478,-0.08262464335487518,-0.09181476518863008
2021-04-15,ETH,196.76658577903197,478,-0.0763182591649807,-0.09181476518863008
2021-05-05,ETH,128.11465125989164,478,-0.14007966490978419,-0.09181476518863008
2021-05-25,ETH,95.36853863558395,478,-0.18862120647406488,-0.10683985476500268
2021-06-14,ETH,157.4091379946582,478,-0.08786819946829816,-0.1146530529821046
2021-07-04,ETH,189.49832766092862,478,-0.08061560525889533,-0.10683985476500268
2021-07-24,ETH,204.52396488326428,478,-0.08581534766824017,-0.09733039756351936
2021-08-13,ETH,178.9016471864079,478,-0.10683985476500268,-0.09733039756351936
2021-09-02,ETH,154.0115676358813,478,-0.08581534766824017,-0.09181476518863008
2021-09-22,ETH,142.55089093081813,478,-0.14007966490978419,-0.10683985476500268
2021-10-12,ETH,165.91269275293175,478,-0.08786819946829816,-0.10683985476500268
2021-11-01,ETH,130.93274202869566,478,-0.06413400747558917,-0.10683985476500268
2021-11-21,ETH,159.82179173248213,478,-0.06413400747558917,-0.10683985476500268
2021-12-11,ETH,210.80657785075553,478,-0.08895455661947604,-0.1106353360569976
2021-12-31,ETH,146.91330237138064,478,-0.06787609204750034,-0.09733039756351936
2022-01-20,ETH,145.21460727580276,478,-0.06760058613231479,-0.09733039756351936
2022-02-09,ETH,174.3651153363386,478,-0.08786819946829816,-0.10683985476500268
2022-03-01,ETH,197.65342423134268,478,-0.08895455661947604,-0.10683985476500268
2022-03-21,ETH,164.79938703007662,478,-0.08786819946829816,-0.10683985476500268
2022-04-10,ETH,104.9995759122652,478,-0.13495198018560295,-0.10683985476500268
2022-04-30,ETH,133.5815570960802,478,-0.1129606965415606,-0.10683985476500268
2022-05-20,ETH,172.66059049000117,478,-0.08907442070915117,-0.10683985476500268
2022-06-09,ETH,137.23655391400328,478,-0.08383201815345487,-0.10683985476500268
2022-06-29,ETH,182.77583471882832,478,-0.12726514274891088,-0.10965717763621186
2022-07-19,ETH,117.0605423504229,478,-0.14560666977063264,-0.10965717763621186
2022-08-08,ETH,166.15116867434688,478,-0.08939900698185621,-0.10965717763621186
2022-08-28,ETH,183.92503413894184,478,-0.1129606965415606,-0.1129606965415606
2022-09-17,ETH,224.9052673625344,478,-0.10965717763621186,-0.10965717763621186
2022-10-07,ETH,129.04936216548015,478,-0.1348919030762632,-0.10388438590393889
2022-10-27,ETH,177.40375273264218,478,-0.1106353360569976,-0.09376374619321126
2022-11-16,ETH,202.25747297981488,478,-0.0906691162371498,-0.10965717763621186
2022-12-06,ETH,111.72265346484835,478,-0.07620538358932016,-0.10965717763621186
2022-12-26,ETH,89.21984107535359,478,-0.07620538358932016,-0.10965717763621186
2023-01-15,ETH,150.3840840638464,478,-0.08204957614156161,-0.09376374619321126
2023-02-04,ETH,150.46804702649027,478,-0.07510119597882614,-0.09376374619321126
2023-02-24,ETH,172.38100306981954,478,-0.07620538358932016,-0.09376374619321126
2023-03-16,ETH,221.45109034740216,478,-0.10388438590393889,-0.09376374619321126
2023-04-05,ETH,174.40267643136454,478,-0.0725627443471204,-0.09249104120260743
2023-04-25,ETH,162.1189065458396,478,-0.0819527339313133,-0.09249104120260743
2023-05-15,ETH,83.08940152366775,478,-0.06569989770606455,-0.0906691162371498
2023-06-04,ETH,75.98069459917937,478,-0.032500671959803995,-0.0906691162371498
2023-06-24,ETH,155.1715694725635,478,-0.0731599781501302,-0.0906691162371498
2023-07-14,ETH,166.15483637441,478,-0.0731599781501302,-0.0906691162371498
2023-08-03,ETH,86.73591389346424,478,-0.042955796833362925,-0.0906691162371498
2023-08-23,ETH,159.86819053295156,478,-0.048917506447511805,-0.0906691162371498
2023-09-12,ETH,156.84121370765084,478,-0.05124715176028083,-0.08329743210455653
2023-10-02,ETH,129.00305603067912,478,-0.06569989770606455,-0.08204957614156161
2023-10-22,ETH,153.12976555483354,478,-0.04027713249426057,-0.06699272468577533
2023-11-11,ETH,169.44083759237313,478,-0.06569989770606455,-0.06699272468577533
2023-12-01,ETH,169.00935100344648,478,-0.04027713249426057,-0.06569989770606455
2023-12-21,ETH,174.08566128775664,478,-0.04813633596281086,-0.057762968017136984
2024-01-10,ETH,119.70520179135256,478,-0.0500112596117237,-0.05124715176028083
2024-01-30,ETH,204.60276135678365,478,-0.04892829295176604,-0.05124715176028083
2024-02-19,ETH,185.49162778926703,478,-0.04926899414148611,-0.05124715176028083
2024-03-10,ETH,186.2168401878016,478,-0.059757836863403746,-0.04926899414148611
2024-03-30,ETH,179.57642078911678,478,-0.05124715176028083,-0.0507532303583762
2024-04-19,ETH,175.60640273045138,478,-0.06548847987240336,-0.0565140508726909
2024-05-09,ETH,188.78530157319162,478,-0.04664643155326953,-0.059757836863403746
2024-05-29,ETH,152.2471771545091,478,-0.06548847987240336,-0.059757836863403746
2024-06-18,ETH,228.1605027993494,478,-0.0558356610908195,-0.0565140508726909
2024-07-08,ETH,133.79180621429092,478,-0.0558356610908195,-0.0565140508726909
2024-07-28,ETH,178.70271004288443,478,-0.048917506447511805,-0.0565140508726909
2024-08-17,ETH,190.96998823432375,478,-0.0565140508726909,-0.059948935835533845
2024-09-06,ETH,100.85934752759185,478,-0.10303386572864692,-0.06531975193850137
2024-09-26,ETH,190.13174738282822,478,-0.04501893824939884,-0.06531975193850137
2024-10-16,ETH,216.98355342522706,478,-0.04858485278891145,-0.06531975193850137
2024-11-05,ETH,174.809102640174,478,-0.06586759645280704,-0.06531975193850137
2024-11-25,ETH,131.40200420796498,478,-0.06531975193850137,-0.06531975193850137
2024-12-15,ETH,206.44691601388965,478,-0.06677182080465904,-0.06531975193850137
2025-01-04,ETH,225.901575835381,478,-0.06586759645280704,-0.06531975193850137
2025-01-24,ETH,204.00962116020494,478,-0.06677182080465904,-0.06586759645280704
2025-02-13,ETH,177.16256421256006,478,-0.07454899525115444,-0.06677182080465904
2025-03-05,ETH,125.11238998119916,478,-0.06998798772084402,-0.06998798772084402
2025-03-25,ETH,202.5293472831,478,-0.07057543278019018,-0.07057543278019018
2025-04-14,ETH,151.53905770768444,478,-0.07454899525115444,-0.07454899525115444
2025-05-04,ETH,164.101927281515,478,-0.06677182080465904,-0.07454899525115444
2025-05-24,ETH,156.16572505669703,478,-0.06998798772084402,-0.07454899525115444
2025-06-13,ETH,188.57210898540586,478,-0.10303386572864692,-0.07503808272120782
2025-07-03,ETH,217.09684277160653,478,-0.07992709361738548,-0.07503808272120782
2025-07-23,ETH,210.97511954175053,478,-0.07992709361738548,-0.07454899525115444
2025-08-12,ETH,155.99384788586977,478,-0.08836675340665323,-0.07367488815721313
2025-09-01,ETH,194.77472584544907,478,-0.07057543278019018,-0.07454899525115444
2025-09-21,ETH,115.24182215593508,478,-0.06714805899076204,-0.07454899525115444
2025-10-11,ETH,177.86861392197483,478,-0.08747456116080343,-0.07503808272120782
2025-10-31,ETH,194.3604550274277,478,-0.06103040506743973,-0.07503808272120782
2025-11-20,ETH,157.33917574670514,478,-0.09106160570726907,-0.08511324249656482
2025-12-10,ETH,191.80774587522802,478,-0.07454899525115444,-0.07943740159222301
2025-12-30,ETH,141.06064671476815,478,-0.06815288274563702,-0.07503808272120782
2026-01-19,ETH,159.31975123426741,478,-0.06921909650334435,-0.07503808272120782
2026-02-08,ETH,150.90177725207727,478,-0.08947749559406937,-0.08511324249656482
2026-02-28,ETH,202.23310663404757,478,-0.08836675340665323,-0.08511324249656482
2026-03-20,ETH,215.29147863621347,478,-0.06998798772084402,-0.08511324249656482
2026-04-09,ETH,210.17673748182054,478,-0.08511324249656482,-0.08511324249656482
2026-04-29,ETH,148.09883976143695,478,-0.08081755701647886,-0.08511324249656482
2026-05-19,ETH,106.41249378472686,478,-0.07503808272120782,-0.08081755701647886
2026-06-08,ETH,210.90311361222902,478,-0.0873797631250115,-0.08081755701647886
2026-06-28,ETH,214.74111538402173,478,-0.07503808272120782,-0.07672068250756059
2026-07-18,ETH,150.88767222344376,478,-0.06815288274563702,-0.07503808272120782
2026-08-07,ETH,92.17314227673859,478,-0.06921909650334435,-0.06921909650334435
2026-08-27,ETH,265.3025383283339,478,-0.06815288274563702,-0.06921909650334435
2026-09-10,ETH,179.05044461355288,478,-0.07503808272120782,-0.06921909650334435
