date,asset,lag,feature,importance
2020-01-11,BTC,12,squared down-return,1.430511474609375e-06
2020-01-11,BTC,13,return,-0.00015767415364583334
2020-01-11,BTC,13,squared return,-3.178914388020833e-06
2020-01-11,BTC,13,squared down-return,-1.2715657552083333e-06
2020-01-11,BTC,14,return,0.00030732154846191406
2020-01-11,BTC,14,squared return,3.258387247721354e-05
2020-01-11,BTC,14,squared down-return,2.4000803629557293e-05
2020-01-11,BTC,15,return,2.1696090698242188e-05
2020-01-11,BTC,15,squared return,1.724561055501302e-05
2020-01-11,BTC,15,squared down-return,2.304712931315104e-06
2020-01-11,BTC,16,return,-0.0002113978068033854
2020-01-11,BTC,16,squared return,7.311503092447916e-05
2020-01-11,BTC,16,squared down-return,1.8994013468424477e-05
2020-01-11,BTC,17,return,4.061063130696615e-05
2020-01-11,BTC,17,squared return,-4.76837158203125e-07
2020-01-11,BTC,17,squared down-return,2.1775563557942707e-05
2020-01-11,BTC,18,return,-2.8848648071289062e-05
2020-01-11,BTC,18,squared return,3.298123677571614e-05
2020-01-11,BTC,18,squared down-return,-2.868970235188802e-05
2020-01-11,BTC,19,return,1.8755594889322914e-05
2020-01-11,BTC,19,squared return,2.6146570841471355e-05
2020-01-11,BTC,19,squared down-return,2.0424524943033852e-05
2020-01-11,BTC,20,return,8.996327718098958e-05
2020-01-11,BTC,20,squared return,-2.384185791015625e-07
2020-01-11,BTC,20,squared down-return,-2.3047129313151044e-06
2020-03-11,BTC,1,return,0.0004662672678629557
2020-03-11,BTC,1,squared return,0.00034793217976888024
2020-03-11,BTC,1,squared down-return,0.000196377436319987
2020-03-11,BTC,2,return,0.0008910497029622395
2020-03-11,BTC,2,squared return,0.0004994869232177734
2020-03-11,BTC,2,squared down-return,0.000312646230061849
2020-03-11,BTC,3,return,0.0005810260772705078
2020-03-11,BTC,3,squared return,8.447964986165364e-05
2020-03-11,BTC,3,squared down-return,0.0002484321594238281
2020-03-11,BTC,4,return,0.000518957773844401
2020-03-11,BTC,4,squared return,0.0002163251241048177
2020-03-11,BTC,4,squared down-return,0.00013812383015950522
2020-03-11,BTC,5,return,0.00021306673685709635
2020-03-11,BTC,5,squared return,0.00019462903340657553
2020-03-11,BTC,5,squared down-return,0.00014495849609375
2020-03-11,BTC,6,return,0.00028252601623535156
2020-03-11,BTC,6,squared return,9.775161743164062e-05
2020-03-11,BTC,6,squared down-return,6.397565205891927e-05
2020-03-11,BTC,7,return,0.000394900639851888
2020-03-11,BTC,7,squared return,-5.205472310384114e-05
2020-03-11,BTC,7,squared down-return,-1.2159347534179688e-05
2020-03-11,BTC,8,return,0.003097057342529297
2020-03-11,BTC,8,squared return,-0.00018509229024251303
2020-03-11,BTC,8,squared down-return,4.76837158203125e-06
2020-03-11,BTC,9,return,-0.0004052321116129557
2020-03-11,BTC,9,squared return,-0.00027871131896972656
2020-03-11,BTC,9,squared down-return,-7.963180541992186e-05
2020-03-11,BTC,10,return,0.000509500503540039
2020-03-11,BTC,10,squared return,5.563100179036454e-06
2020-03-11,BTC,10,squared down-return,-1.0490417480468743e-05
2020-03-11,BTC,11,return,0.0005729198455810548
2020-03-11,BTC,11,squared return,3.0994415283203125e-06
2020-03-11,BTC,11,squared down-return,-0.00019176801045735675
2020-03-11,BTC,12,return,0.0030104319254557295
2020-03-11,BTC,12,squared return,-1.1285146077473957e-05
