date,asset,alpha,level,model
2020-12-18,BTC,0.01,0.01040999999999988,HS+ACI
2020-12-21,BTC,0.025,0.029531250000000005,HS+ACI
2020-12-23,BTC,0.01,0.010434999999999878,HS+ACI
2020-12-26,BTC,0.025,0.029687500000000006,HS+ACI
2020-12-28,BTC,0.01,0.010459999999999877,HS+ACI
2020-12-31,BTC,0.025,0.029843750000000006,HS+ACI
2021-01-02,BTC,0.01,0.010484999999999876,HS+ACI
2021-01-05,BTC,0.025,0.030000000000000006,HS+ACI
2021-01-07,BTC,0.01,0.010509999999999875,HS+ACI
2021-01-10,BTC,0.025,0.030156250000000006,HS+ACI
2021-01-12,BTC,0.01,0.010534999999999874,HS+ACI
2021-01-15,BTC,0.025,0.027812500000000004,HS+ACI
2021-01-17,BTC,0.01,0.010559999999999873,HS+ACI
2021-01-20,BTC,0.025,0.027968750000000004,HS+ACI
2021-01-22,BTC,0.01,0.010084999999999872,HS+ACI
2021-01-25,BTC,0.025,0.026875000000000003,HS+ACI
2021-01-27,BTC,0.01,0.01010999999999987,HS+ACI
2021-01-30,BTC,0.025,0.025781250000000002,HS+ACI
2021-02-01,BTC,0.01,0.01013499999999987,HS+ACI
2021-02-04,BTC,0.025,0.025937500000000002,HS+ACI
2021-02-06,BTC,0.01,0.010159999999999869,HS+ACI
2021-02-09,BTC,0.025,0.026093750000000002,HS+ACI
2021-02-11,BTC,0.01,0.010184999999999868,HS+ACI
2021-02-14,BTC,0.025,0.026250000000000002,HS+ACI
2021-02-16,BTC,0.01,0.010209999999999867,HS+ACI
2021-02-19,BTC,0.025,0.026406250000000003,HS+ACI
2021-02-21,BTC,0.01,0.010234999999999866,HS+ACI
2021-02-24,BTC,0.025,0.0240625,HS+ACI
2021-02-26,BTC,0.01,0.009759999999999864,HS+ACI
2021-03-01,BTC,0.025,0.02421875,HS+ACI
2021-03-03,BTC,0.01,0.009784999999999863,HS+ACI
2021-03-06,BTC,0.025,0.024375,HS+ACI
2021-03-08,BTC,0.01,0.009809999999999862,HS+ACI
2021-03-11,BTC,0.025,0.02453125,HS+ACI
2021-03-13,BTC,0.01,0.009834999999999861,HS+ACI
2021-03-16,BTC,0.025,0.0234375,HS+ACI
2021-03-18,BTC,0.01,0.00985999999999986,HS+ACI
2021-03-21,BTC,0.025,0.02359375,HS+ACI
2021-03-23,BTC,0.01,0.00988499999999986,HS+ACI
2021-03-26,BTC,0.025,0.02375,HS+ACI
2021-03-28,BTC,0.01,0.009909999999999858,HS+ACI
2021-03-31,BTC,0.025,0.02390625,HS+ACI
2021-04-02,BTC,0.01,0.009934999999999857,HS+ACI
2021-04-05,BTC,0.025,0.0240625,HS+ACI
2021-04-07,BTC,0.01,0.009959999999999856,HS+ACI
2021-04-10,BTC,0.025,0.02421875,HS+ACI
2021-04-12,BTC,0.01,0.009984999999999855,HS+ACI
2021-04-15,BTC,0.025,0.024375,HS+ACI
2021-04-17,BTC,0.01,0.010009999999999854,HS+ACI
2021-04-20,BTC,0.025,0.02328125,HS+ACI
2021-04-22,BTC,0.01,0.010034999999999853,HS+ACI
2021-04-25,BTC,0.025,0.0234375,HS+ACI
2021-04-27,BTC,0.01,0.010059999999999852,HS+ACI
2021-04-30,BTC,0.025,0.02359375,HS+ACI
2021-05-02,BTC,0.01,0.010084999999999851,HS+ACI
2021-05-05,BTC,0.025,0.02375,HS+ACI
2021-05-07,BTC,0.01,0.01010999999999985,HS+ACI
2021-05-10,BTC,0.025,0.02390625,HS+ACI
2021-05-12,BTC,0.01,0.009634999999999849,HS+ACI
2021-05-15,BTC,0.025,0.0228125,HS+ACI
2021-05-17,BTC,0.01,0.009659999999999848,HS+ACI
2021-05-20,BTC,0.025,0.02171875,HS+ACI
2021-05-22,BTC,0.01,0.009184999999999846,HS+ACI
2021-05-25,BTC,0.025,0.020624999999999998,HS+ACI
2021-05-27,BTC,0.01,0.009209999999999845,HS+ACI
2021-05-30,BTC,0.025,0.020781249999999998,HS+ACI
2021-06-01,BTC,0.01,0.009234999999999844,HS+ACI
2021-06-04,BTC,0.025,0.020937499999999998,HS+ACI
2021-06-06,BTC,0.01,0.009259999999999843,HS+ACI
2021-06-09,BTC,0.025,0.021093749999999998,HS+ACI
2021-06-11,BTC,0.01,0.009284999999999842,HS+ACI
2021-06-14,BTC,0.025,0.021249999999999998,HS+ACI
2021-06-16,BTC,0.01,0.009309999999999841,HS+ACI
2021-06-19,BTC,0.025,0.021406249999999998,HS+ACI
2021-06-21,BTC,0.01,0.00883499999999984,HS+ACI
2021-06-24,BTC,0.025,0.020312499999999997,HS+ACI
2021-06-26,BTC,0.01,0.008859999999999838,HS+ACI
2021-06-29,BTC,0.025,0.020468749999999997,HS+ACI
2021-07-01,BTC,0.01,0.008884999999999837,HS+ACI
2021-07-04,BTC,0.025,0.020624999999999998,HS+ACI
2021-07-06,BTC,0.01,0.008909999999999836,HS+ACI
2021-07-09,BTC,0.025,0.020781249999999998,HS+ACI
2021-07-11,BTC,0.01,0.008934999999999835,HS+ACI
2021-07-14,BTC,0.025,0.020937499999999998,HS+ACI
2021-07-16,BTC,0.01,0.008959999999999834,HS+ACI
2021-07-19,BTC,0.025,0.021093749999999998,HS+ACI
2021-07-21,BTC,0.01,0.008984999999999833,HS+ACI
2021-07-24,BTC,0.025,0.021249999999999998,HS+ACI
2021-07-26,BTC,0.01,0.009009999999999832,HS+ACI
2021-07-29,BTC,0.025,0.021406249999999998,HS+ACI
2021-07-31,BTC,0.01,0.009034999999999831,HS+ACI
2021-08-03,BTC,0.025,0.0215625,HS+ACI
2021-08-05,BTC,0.01,0.00905999999999983,HS+ACI
2021-08-08,BTC,0.025,0.02171875,HS+ACI
2021-08-10,BTC,0.01,0.00908499999999983,HS+ACI
2021-08-13,BTC,0.025,0.021875,HS+ACI
2021-08-15,BTC,0.01,0.009109999999999828,HS+ACI
2021-08-18,BTC,0.025,0.02203125,HS+ACI
2021-08-20,BTC,0.01,0.009134999999999827,HS+ACI
2021-08-23,BTC,0.025,0.0221875,HS+ACI
2021-08-25,BTC,0.01,0.009159999999999826,HS+ACI
2021-08-28,BTC,0.025,0.02234375,HS+ACI
2021-08-30,BTC,0.01,0.009184999999999825,HS+ACI
2021-09-02,BTC,0.025,0.0225,HS+ACI
2021-09-04,BTC,0.01,0.009209999999999824,HS+ACI
2021-09-07,BTC,0.025,0.021406249999999998,HS+ACI
2021-09-09,BTC,0.01,0.008734999999999823,HS+ACI
2021-09-12,BTC,0.025,0.0215625,HS+ACI
2021-09-14,BTC,0.01,0.008759999999999822,HS+ACI
2021-09-17,BTC,0.025,0.02171875,HS+ACI
2021-09-19,BTC,0.01,0.00878499999999982,HS+ACI
2021-09-22,BTC,0.025,0.020624999999999998,HS+ACI
2021-09-24,BTC,0.01,0.00880999999999982,HS+ACI
2021-09-27,BTC,0.025,0.020781249999999998,HS+ACI
2021-09-29,BTC,0.01,0.008834999999999819,HS+ACI
2021-10-02,BTC,0.025,0.020937499999999998,HS+ACI
2021-10-04,BTC,0.01,0.008859999999999818,HS+ACI
2021-10-07,BTC,0.025,0.021093749999999998,HS+ACI
2021-10-09,BTC,0.01,0.008884999999999817,HS+ACI
2021-10-12,BTC,0.025,0.021249999999999998,HS+ACI
2021-10-14,BTC,0.01,0.008909999999999816,HS+ACI
2021-10-17,BTC,0.025,0.021406249999999998,HS+ACI
2021-10-19,BTC,0.01,0.008934999999999815,HS+ACI
2021-10-22,BTC,0.025,0.0215625,HS+ACI
2021-10-24,BTC,0.01,0.008959999999999814,HS+ACI
2021-10-27,BTC,0.025,0.02171875,HS+ACI
2021-10-29,BTC,0.01,0.008984999999999813,HS+ACI
2021-11-01,BTC,0.025,0.021875,HS+ACI
2021-11-03,BTC,0.01,0.009009999999999812,HS+ACI
2021-11-06,BTC,0.025,0.02203125,HS+ACI
2021-11-08,BTC,0.01,0.00903499999999981,HS+ACI
2021-11-11,BTC,0.025,0.0221875,HS+ACI
2021-11-13,BTC,0.01,0.00905999999999981,HS+ACI
2021-11-16,BTC,0.025,0.02234375,HS+ACI
2021-11-18,BTC,0.01,0.009084999999999809,HS+ACI
2021-11-21,BTC,0.025,0.0225,HS+ACI
2021-11-23,BTC,0.01,0.009109999999999807,HS+ACI
2021-11-26,BTC,0.025,0.021406249999999998,HS+ACI
2021-11-28,BTC,0.01,0.009134999999999806,HS+ACI
2021-12-01,BTC,0.025,0.0215625,HS+ACI
2021-12-03,BTC,0.01,0.009159999999999805,HS+ACI
2021-12-06,BTC,0.025,0.02171875,HS+ACI
2021-12-08,BTC,0.01,0.009184999999999804,HS+ACI
2021-12-11,BTC,0.025,0.021875,HS+ACI
2021-12-13,BTC,0.01,0.009209999999999803,HS+ACI
2021-12-16,BTC,0.025,0.02203125,HS+ACI
2021-12-18,BTC,0.01,0.009234999999999802,HS+ACI
2021-12-21,BTC,0.025,0.0221875,HS+ACI
2021-12-23,BTC,0.01,0.009259999999999801,HS+ACI
2021-12-26,BTC,0.025,0.02234375,HS+ACI
2021-12-28,BTC,0.01,0.0092849999999998,HS+ACI
2021-12-31,BTC,0.025,0.0225,HS+ACI
2022-01-02,BTC,0.01,0.0093099999999998,HS+ACI
2022-01-05,BTC,0.025,0.02265625,HS+ACI
2022-01-07,BTC,0.01,0.009334999999999798,HS+ACI
2022-01-10,BTC,0.025,0.0228125,HS+ACI
2022-01-12,BTC,0.01,0.009359999999999797,HS+ACI
2022-01-15,BTC,0.025,0.02296875,HS+ACI
2022-01-17,BTC,0.01,0.009384999999999796,HS+ACI
2022-01-20,BTC,0.025,0.023125,HS+ACI
2022-01-22,BTC,0.01,0.008909999999999795,HS+ACI
2022-01-25,BTC,0.025,0.02203125,HS+ACI
2022-01-27,BTC,0.01,0.008934999999999794,HS+ACI
2022-01-30,BTC,0.025,0.0221875,HS+ACI
2022-02-01,BTC,0.01,0.008959999999999793,HS+ACI
2022-02-04,BTC,0.025,0.02234375,HS+ACI
2022-02-06,BTC,0.01,0.008984999999999792,HS+ACI
2022-02-09,BTC,0.025,0.0225,HS+ACI
2022-02-11,BTC,0.01,0.00900999999999979,HS+ACI
2022-02-14,BTC,0.025,0.02265625,HS+ACI
2022-02-16,BTC,0.01,0.00903499999999979,HS+ACI
2022-02-19,BTC,0.025,0.0228125,HS+ACI
2022-02-21,BTC,0.01,0.009059999999999789,HS+ACI
2022-02-24,BTC,0.025,0.02296875,HS+ACI
2022-02-26,BTC,0.01,0.009084999999999788,HS+ACI
2022-03-01,BTC,0.025,0.023125,HS+ACI
2022-03-03,BTC,0.01,0.009109999999999787,HS+ACI
2022-03-06,BTC,0.025,0.02328125,HS+ACI
2022-03-08,BTC,0.01,0.009134999999999786,HS+ACI
2022-03-11,BTC,0.025,0.0234375,HS+ACI
2022-03-13,BTC,0.01,0.009159999999999785,HS+ACI
2022-03-16,BTC,0.025,0.02359375,HS+ACI
2022-03-18,BTC,0.01,0.009184999999999784,HS+ACI
2022-03-21,BTC,0.025,0.02375,HS+ACI
2022-03-23,BTC,0.01,0.009209999999999783,HS+ACI
2022-03-26,BTC,0.025,0.02390625,HS+ACI
2022-03-28,BTC,0.01,0.009234999999999782,HS+ACI
2022-03-31,BTC,0.025,0.0240625,HS+ACI
2022-04-02,BTC,0.01,0.00925999999999978,HS+ACI
2022-04-05,BTC,0.025,0.02421875,HS+ACI
2022-04-07,BTC,0.01,0.00928499999999978,HS+ACI
2022-04-10,BTC,0.025,0.024375,HS+ACI
2022-04-12,BTC,0.01,0.009309999999999779,HS+ACI
2022-04-15,BTC,0.025,0.02453125,HS+ACI
2022-04-17,BTC,0.01,0.009334999999999778,HS+ACI
2022-04-20,BTC,0.025,0.0246875,HS+ACI
2022-04-22,BTC,0.01,0.009359999999999776,HS+ACI
2022-04-25,BTC,0.025,0.02484375,HS+ACI
2022-04-27,BTC,0.01,0.009384999999999775,HS+ACI
2022-04-30,BTC,0.025,0.025,HS+ACI
2022-05-02,BTC,0.01,0.009409999999999774,HS+ACI
2022-05-05,BTC,0.025,0.02515625,HS+ACI
2022-05-07,BTC,0.01,0.009434999999999773,HS+ACI
2022-05-10,BTC,0.025,0.0240625,HS+ACI
2022-05-12,BTC,0.01,0.008959999999999772,HS+ACI
2022-05-15,BTC,0.025,0.02421875,HS+ACI
2022-05-17,BTC,0.01,0.008984999999999771,HS+ACI
2022-05-20,BTC,0.025,0.024375,HS+ACI
2022-05-22,BTC,0.01,0.00900999999999977,HS+ACI
2022-05-25,BTC,0.025,0.02453125,HS+ACI
2022-05-27,BTC,0.01,0.009034999999999769,HS+ACI
2022-05-30,BTC,0.025,0.0246875,HS+ACI
2022-06-01,BTC,0.01,0.009059999999999768,HS+ACI
2022-06-04,BTC,0.025,0.02484375,HS+ACI
2022-06-06,BTC,0.01,0.009084999999999767,HS+ACI
2022-06-09,BTC,0.025,0.025,HS+ACI
2022-06-11,BTC,0.01,0.009109999999999766,HS+ACI
2022-06-14,BTC,0.025,0.02390625,HS+ACI
2022-06-16,BTC,0.01,0.008634999999999764,HS+ACI
2022-06-19,BTC,0.025,0.0228125,HS+ACI
2022-06-21,BTC,0.01,0.008659999999999763,HS+ACI
2022-06-24,BTC,0.025,0.02296875,HS+ACI
2022-06-26,BTC,0.01,0.008684999999999762,HS+ACI
2022-06-29,BTC,0.025,0.023125,HS+ACI
2022-07-01,BTC,0.01,0.008709999999999761,HS+ACI
2022-07-04,BTC,0.025,0.02328125,HS+ACI
2022-07-06,BTC,0.01,0.00873499999999976,HS+ACI
2022-07-09,BTC,0.025,0.0234375,HS+ACI
2022-07-11,BTC,0.01,0.00875999999999976,HS+ACI
