asset,alpha,asof,date,lag,ret,per_day,c_return,c_squared,c_down_squared,base_var,flat_var
BTC,0.01,2026-09-23,2026-09-04,20,-0.019409530491611093,0.004725623854890282,0.004590334398766993,6.485873626614624e-05,6.615201067257381e-05,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-05,19,0.0017024346747565033,-0.00037851301862345393,-0.00037899604268986503,4.800422081091549e-07,0.0,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-06,18,0.00627775122681129,-0.0012533221019937826,-0.001259141851529741,5.9493473643854045e-06,0.0,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-07,17,-0.015646579713967768,0.0029043903433754736,0.002836034468083566,3.251795574351485e-05,3.4073612957818966e-05,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-08,16,-0.007965287898837659,0.0012579923819075606,0.0012428032968609323,7.302051997983006e-06,7.665677160789697e-06,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-09,15,-0.003041099735005659,0.0004083378222702119,0.0004064449166619327,9.164409380327254e-07,9.600806393436634e-07,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-10,14,0.0002937316178073246,-3.361234185560863e-05,-3.3626896661961836e-05,0.0,0.0,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-11,13,-0.012926782591144194,0.0013029812749775216,0.0012777352705263118,1.2159905228723011e-05,1.281437684243214e-05,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-12,12,0.0006864528361080594,-5.7894583934813004e-05,-5.7923705129650505e-05,2.9093574681338108e-08,0.0,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-13,11,-0.005667260212669204,0.00041511422864063535,0.00041157440939101203,1.7164971693808817e-06,1.8183217553244257e-06,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-14,10,0.017380162682425288,-0.0010675842312011796,-0.0010813954013516244,1.3934234205759122e-05,0.0,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-15,9,-0.033087188533483976,0.0018731041399509887,0.0017834858863941677,4.3508477890766284e-05,4.587786791530185e-05,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-16,8,0.007395861015404931,-0.00034153637035117673,-0.00034340881100805576,1.8765071567172775e-06,0.0,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-17,7,0.002764984396547914,-0.00011048095515425738,-0.00011071412570327205,2.182014718979386e-07,0.0,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-18,6,0.05680910686215356,-0.0018913520575041531,-0.001973983752157557,8.242457916203538e-05,0.0,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-19,5,0.0045162759007227075,-0.00013509993084864086,-0.0001355518815540982,4.5094884846413885e-07,0.0,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-20,4,-0.000886423635653308,2.3139555198656292e-05,2.311047264390992e-05,1.4546789078861977e-08,1.4546789078861977e-08,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-21,3,0.06488646128921773,-0.0014315606905414557,-0.0015031688207260419,7.001713914632501e-05,0.0,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-22,2,-0.004761259102827971,9.771973675448686e-05,9.703712877758008e-05,3.345752711617078e-07,3.491219804641066e-07,0.06101366285846907,0.05402514080941384
BTC,0.01,2026-09-23,2026-09-23,1,-0.021230511505009715,0.00042160095254983876,0.00040880020244176557,6.094800914686893e-06,6.822063464390071e-06,0.06101366285846907,0.05402514080941384
ETH,0.025,2026-09-23,2026-09-04,20,-0.02005648821406858,0.0024584239364360966,0.00240728004149373,3.2151001548137714e-05,4.850487181269625e-05,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-05,19,0.010815806014167428,-0.0016068469660312293,-0.0016173439128863223,8.561614848981436e-06,0.0,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-06,18,0.013968075447216677,-0.001803204472781296,-0.0018186687238128177,1.2359900470382268e-05,0.0,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-07,17,-0.011054374473863149,0.0010134114880555115,0.0009992557021952578,6.574725500772816e-06,1.0051739581962149e-05,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-08,16,-0.0014641421310992442,0.00011921426118211703,0.00011896635202570532,8.76676466629589e-08,1.4611267476483114e-07,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-09,15,-0.008089159527231438,0.0005369944647541924,0.0005312443402187353,2.4546467024613716e-06,3.784205948514918e-06,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-10,14,0.0010915423526043355,-6.246583388185706e-05,-6.2495086244653e-05,2.922256282789082e-08,0.0,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-11,13,0.019668160115029105,-0.000989786215233511,-0.0010013830114467548,1.015400171525127e-05,0.0,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-12,12,0.003768081311301149,-0.0001513695961629924,-0.00015167719179162015,3.068362146585457e-07,0.0,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-13,11,-0.019520790637656917,0.0006378733840059075,0.0006215612084922301,7.10067306854828e-06,1.0840614475919608e-05,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-14,10,0.015482448721950155,-0.00044423661676103177,-0.0004482398247343741,3.754985176213088e-06,0.0,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-15,9,-0.04782749541700071,0.0011008305721039446,0.0010362692955345684,3.0252501591949976e-05,4.60666699611742e-05,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-16,8,0.008304798879415877,-0.00016442179288854442,-0.00016519827355800099,7.597821047380937e-07,0.0,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-17,7,0.011928930448222286,-0.00019695448088405398,-0.0001983177125501681,1.3296125017103755e-06,0.0,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-18,6,0.06519260501076383,-0.0009199986454376877,-0.0009579618064846362,3.3625949358892515e-05,0.0,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-19,5,0.007836328407657052,-9.270559425732239e-05,-9.312996396568934e-05,4.237257971093089e-07,0.0,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-20,4,0.004744320083342025,-4.93475550932404e-05,-4.94937857702521e-05,1.315014229730238e-07,0.0,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-21,3,0.04832902686271647,-0.0004625180846983129,-0.00047582780722264795,1.2681283064960858e-05,0.0,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-22,2,-0.008159442862044633,7.994459594143355e-05,7.902527888627164e-05,3.3605863117985857e-07,5.698374616405766e-07,0.06128417068108232,0.06067455716394936
ETH,0.025,2026-09-23,2026-09-23,1,-0.025347326565563894,0.00028961053864122455,0.000280230074942385,3.462776686787017e-06,6.107212761875813e-06,0.06128417068108232,0.06067455716394936
ETH,0.01,2026-09-23,2026-09-04,20,-0.02005648821406858,0.0033899385255152237,0.0033194158393175938,4.43332482923664e-05,6.688371813992622e-05,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-05,19,0.010815806014167428,-0.002215692889263432,-0.0022301672051114885,1.180567256404974e-05,0.0,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-06,18,0.013968075447216677,-0.0024864516738004744,-0.0025077754412610037,1.7043156046087082e-05,0.0,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-07,17,-0.011054374473863149,0.0013974004217268132,0.0013778809063432346,9.065936488597548e-06,1.386041632296664e-05,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-08,16,-0.0014641421310992442,0.00016438540594343465,0.00016404356221677574,1.208855512913054e-07,2.0147582274754328e-07,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-09,15,-0.008089159527231438,0.0007404655466776988,0.0007325366584170628,3.384730070304931e-06,5.218068919371488e-06,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-10,14,0.0010915423526043355,-8.613458959055853e-05,-8.617492588493258e-05,4.029520299375644e-08,0.0,0.08450518566672427,0.08366458518412415
ETH,0.01,2026-09-23,2026-09-11,13,0.019668160115029105,-0.001364823362364459,-0.0013808142684377245,1.4001426317300503e-05,0.0,0.08450518566672427,0.08366458518412415
